,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
455,TINA I LOVE YOU you are literally answering all my prayers,Ugx0_psq5uzhjlJOL5h4AaABAg,http://www.youtube.com/channel/UCGr65O0GnTxsynaXZULN9SA,Rachel Castellino,1,1,2020-08-26 04:56:26+00:00,kO_LUVkKdJM,1,The Ultimate Guide to Land a Data Science Internship | schedule and time management survival guide,2020-08-26
456,"Also a fan of ""ultralearning""! Using it to fill in my skill gaps in data science 😄",Ugy5_Vm4lbsQTieQcF94AaABAg,http://www.youtube.com/channel/UCYyKtDp1ZyxAi1jZVc6ZMRw,Jon Pablo,1,0,2020-08-26 04:36:52+00:00,kO_LUVkKdJM,1,The Ultimate Guide to Land a Data Science Internship | schedule and time management survival guide,2020-08-26
457,This advice is so useful! Thank you Tina!! 💖,Ugw9fyniHEiyuPY6uJ54AaABAg,http://www.youtube.com/channel/UCn1yeBacAi5H_r_uP96N1qQ,taemochaa,1,0,2020-08-26 02:32:19+00:00,kO_LUVkKdJM,1,The Ultimate Guide to Land a Data Science Internship | schedule and time management survival guide,2020-08-26
458,I would love a video for full time ds jobs! I'm applying the next year and already feel overwhelmed...,Ugz-hrcmhkKbiL63_0R4AaABAg,http://www.youtube.com/channel/UCsjfxwtt1M6eVm9p3JDSITg,SJ,1,0,2020-08-25 18:46:42+00:00,kO_LUVkKdJM,1,The Ultimate Guide to Land a Data Science Internship | schedule and time management survival guide,2020-08-25
459,"choosing GS while showing Amazon boxes in the background x'D

Jokes aside, you put forth very good considerations. Thank you for the video!",UgzVV9efM5pwARB-23V4AaABAg,http://www.youtube.com/channel/UCRHxT7aM9MKKxvh1cW9vZng,YiLen Wong,1,0,2020-08-25 18:10:55+00:00,JUkSeqe1eYQ,1,How To Choose Between Software Engineering And Data Science? | 5 Key Considerations,2020-08-25
460,"Hope you enjoyed this video! Have you guys started applying already? 

Also, do you guys think I should make a version for full-time and/or people no longer in school? 😊",UgxeNipFs3dp-LkXO614AaABAg,http://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,3,5,2020-08-25 15:48:57+00:00,kO_LUVkKdJM,3,The Ultimate Guide to Land a Data Science Internship | schedule and time management survival guide,2020-08-25
461,Doesn't this assume that you're still in school? Getting a research position is often difficult. What other ways can we showcase our impact other than research?,Ugx1NEaa4AhZtvQ9NwB4AaABAg,http://www.youtube.com/channel/UCTMCIpUjzixdJJ_gSAQOqHA,Hong FuMagic,2,0,2020-08-24 19:02:30+00:00,2goqyY5XBeI,2,Best Data Science Project to Get an Internship or Job (especially if you have no experience),2020-08-24
462,Found you on LinkedIn! Great video :)),Ugy8pRl1XfxFtXPJXeR4AaABAg,http://www.youtube.com/channel/UCaMMYTm6x7WOZM8NFvDqPJg,Huy Bui,1,0,2020-08-24 00:14:29+00:00,vaD3ZFFNwhM,1,How I Learned SQL from Scratch in 11 Days for FANG Data Science Interview (includes interview demo),2020-08-24
463,"Hello Tina! I found out about your videos through RTC and they have been super informative! Yeah I always wanted to explore data science field, but didn't really have a clear career plan when I was in school, so I ended up with software engineering (I guess now I have to work on personal projects and teach myself 🤣🤣🤣). Thanks for sharing your experiences :)",Ugy9WjraTx3rtD5z6Jl4AaABAg,http://www.youtube.com/channel/UCqdzqKpyDJqOSvpadqlrGPg,Ivy He,1,0,2020-08-23 17:55:05+00:00,2goqyY5XBeI,1,Best Data Science Project to Get an Internship or Job (especially if you have no experience),2020-08-23
464,"I just found your channel through Ken Jee's comment section (I just saw he's also here haha) and I just wanted to say that's a very interesting way of looking at personal projects I only rarely see. I also think research assistant possitions are very, very valuable for people in university like me, because as you said well, it basically combines experience, learning and networking, so you get the best of all those worlds! Look forward to your future videos! :)",UgxQIXVCzT_tYVc8Lax4AaABAg,http://www.youtube.com/channel/UCXOdh3pTBBovDXzkUkTuvKA,Boris Giba,3,0,2020-08-22 18:44:44+00:00,2goqyY5XBeI,3,Best Data Science Project to Get an Internship or Job (especially if you have no experience),2020-08-22
